label,method,origin_count,origin_stability,origin_radii,baseline_nests,edge
negative_025_hopf_1,binary128_matching,3,SUS,"[6622.355023137953, 34518641.747768015, 92093103.8192663]","[{""pt"": [-843032671.9949989, 843032672.9949989], ""tr"": -2127707357.5917914, ""roots"": [], ""stab"": [], ""k"": 2, ""redge"": 0.0012840254166877419}, {""pt"": [0.0, -0.0], ""tr"": 8.609642039816354, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -2.306800667308566e-05, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_025_hopf_0.1,binary128_matching,3,SUS,"[42.88286987709918, 47585649.83086525, 77186160.15379335]","[{""pt"": [-843032671.34176, 843032672.34176], ""tr"": -2127707363.6917772, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.8609642039816354, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -2.306800666970229e-05, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_026_fold,binary128_matching,2,US,"[524845534.66712916, 524845794.94368273]","[{""pt"": [-8429843386.729661, 8429843387.729662], ""tr"": -21287320196.605976, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.295925371518876e-06, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_026_pair,binary128_matching,2,US,"[427421739.20431185, 637769888.7878665]","[{""pt"": [-8429846922.947489, 8429846923.947489], ""tr"": -21287245228.78804, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.295916727745853e-06, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_026_hopf_1,binary128_matching,3,SUS,"[54857.10706367776, 294986359.6981814, 787474104.9329422]","[{""pt"": [-8429846924.788124, 8429846925.788124], ""tr"": -21287245211.6013, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 21.834751455040482, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.295916729571055e-06, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_026_hopf_0.1,binary128_matching,3,SUS,"[236.68183393366556, 406882643.5894935, 660047247.756456]","[{""pt"": [-8429846923.131553, 8429846924.131552], ""tr"": -21287245227.069363, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 2.1834751455040484, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.295916727686188e-06, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_027_fold,binary128_matching,2,US,"[4574596440.50569, 4574598709.097336]","[{""pt"": [-84294810907.7018, 84294810908.7018], ""tr"": -212950008751.9953, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -2.3074542737991976e-06, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_027_pair,binary128_matching,2,US,"[3724753653.1102004, 5557969482.549127]","[{""pt"": [-84294838212.66873, 84294838213.66873], ""tr"": -212949429886.69647, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -2.3074521624870806e-06, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_027_hopf_1,binary128_matching,3,SUS,"[563264.5381742084, 2520651004.7352805, 6919990767.335656]","[{""pt"": [-84294838217.74736, 84294838218.74736], ""tr"": -212949429839.2779, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 60.24843948912936, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -2.3074521630595804e-06, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_023_pair,binary128_matching,2,SU,"[3580492488463929.0, 5360092286269822.0]","[{""pt"": [-2.2349759218886858, 4.04470830798304], ""tr"": 7.5407612073419426, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020441724384275526}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [3469390340.254205], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""angular_chart_failure"", ""u_valid"": 37.5, ""F"": 3.624365198970022e-22, ""status"": 3, ""u_failed"": 38.5, ""sign"": 1, ""r_valid"": 1.9321599304402836e+16}"
