label,c,K,beta,alpha,selected_method,count,stability,outside_sign,edge_sign,edge_kind,edge_radius,sign_comparison,uncertain_sign_changes,baseline_origin_count,rational_vector
positive_infinity_009_hopf_1,1245625419988670667496747141554536404693/1000000000000000000000000000000000000000,2,-11439539599702351/20000000000000000000,-220000000000000000000000000000000000000000/8701879619875377342464218557099900451623,double_full_return,3,USU,1,1,integration_failure,494.32749465722276,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-220000000000000000000000000000000000000000/8701879619875377342464218557099900451623"", ""-11439539599702351/20000000000000000000"", ""-10"", ""11/5"", ""1245625419988670667496747141554536404693/1000000000000000000000000000000000000000""]"
positive_infinity_009_hopf_0.1,1245625419988670667496747141554536404693/1000000000000000000000000000000000000000,2,-57197697998511761/1000000000000000000000,-220000000000000000000000000000000000000000/8701879619875377342464218557099900451623,double_full_return,3,USU,1,1,integration_failure,484.37593388429315,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-220000000000000000000000000000000000000000/8701879619875377342464218557099900451623"", ""-57197697998511761/1000000000000000000000"", ""-10"", ""11/5"", ""1245625419988670667496747141554536404693/1000000000000000000000000000000000000000""]"
negative_007_fold,212275931561588542533374057612015059/250000000000000000000000000000000000,-1,0,-51250000000000000000000000000000000000/1085035247177473967867114633732165649,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-51250000000000000000000000000000000000/1085035247177473967867114633732165649"", ""0"", ""-10"", ""11/5"", ""212275931561588542533374057612015059/250000000000000000000000000000000000""]"
positive_infinity_010_fold,67311818334121071540426375461050453/50000000000000000000000000000000000,3,0,-11250000000000000000000000000000000000/490430001675331786944690130071554983,double_full_return,0,,,1,integration_failure,430.7708042054969,unresolved,2,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-11250000000000000000000000000000000000/490430001675331786944690130071554983"", ""0"", ""-10"", ""11/5"", ""67311818334121071540426375461050453/50000000000000000000000000000000000""]"
negative_007_pair,1695964522455727959641285277658420893229/2000000000000000000000000000000000000000,-1,0,-410000000000000000000000000000000000000000/8655609747013007556054138054242629825519,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-410000000000000000000000000000000000000000/8655609747013007556054138054242629825519"", ""0"", ""-10"", ""11/5"", ""1695964522455727959641285277658420893229/2000000000000000000000000000000000000000""]"
positive_infinity_010_pair,53881239760999508577080666796185777313/40000000000000000000000000000000000000,3,0,-9000000000000000000000000000000000000000/392693637370994594347887334758043550443,double_full_return,2,SU,1,1,integration_failure,435.56138626318983,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-9000000000000000000000000000000000000000/392693637370994594347887334758043550443"", ""0"", ""-10"", ""11/5"", ""53881239760999508577080666796185777313/40000000000000000000000000000000000000""]"
positive_infinity_010_hopf_1,53881239760999508577080666796185777313/40000000000000000000000000000000000000,3,-11418189823357637/10000000000000000000,-9000000000000000000000000000000000000000/392693637370994594347887334758043550443,double_full_return,3,USU,1,1,integration_failure,484.61250332227036,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-9000000000000000000000000000000000000000/392693637370994594347887334758043550443"", ""-11418189823357637/10000000000000000000"", ""-10"", ""11/5"", ""53881239760999508577080666796185777313/40000000000000000000000000000000000000""]"
positive_infinity_010_hopf_0.1,53881239760999508577080666796185777313/40000000000000000000000000000000000000,3,-11418189823357637/100000000000000000000,-9000000000000000000000000000000000000000/392693637370994594347887334758043550443,double_full_return,3,USU,1,1,integration_failure,440.09354416340994,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-9000000000000000000000000000000000000000/392693637370994594347887334758043550443"", ""-11418189823357637/100000000000000000000"", ""-10"", ""11/5"", ""53881239760999508577080666796185777313/40000000000000000000000000000000000000""]"
negative_007_hopf_1,1695964522455727959641285277658420893229/2000000000000000000000000000000000000000,-1,12100422568613841/100000000000000000000,-410000000000000000000000000000000000000000/8655609747013007556054138054242629825519,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-410000000000000000000000000000000000000000/8655609747013007556054138054242629825519"", ""12100422568613841/100000000000000000000"", ""-10"", ""11/5"", ""1695964522455727959641285277658420893229/2000000000000000000000000000000000000000""]"
negative_007_hopf_0.1,1695964522455727959641285277658420893229/2000000000000000000000000000000000000000,-1,12100422568613841/1000000000000000000000,-410000000000000000000000000000000000000000/8655609747013007556054138054242629825519,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-410000000000000000000000000000000000000000/8655609747013007556054138054242629825519"", ""12100422568613841/1000000000000000000000"", ""-10"", ""11/5"", ""1695964522455727959641285277658420893229/2000000000000000000000000000000000000000""]"
positive_infinity_011_fold,142346874652111337440988520318146711/100000000000000000000000000000000000,4,0,-23000000000000000000000000000000000000/1065815621173224711850873723499613821,double_full_return,0,,,1,integration_failure,638.5682210815809,unresolved,2,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-23000000000000000000000000000000000000/1065815621173224711850873723499613821"", ""0"", ""-10"", ""11/5"", ""142346874652111337440988520318146711/100000000000000000000000000000000000""]"
