=== row7  a=0.72727272727272727272727272727273 a20=-12 side=1
  *** D_xxx SIGN CHANGE between x0=1.65110280801 and 1.69732486986 : 1.23772e-6 -> -3.72576e-5
  n=20   x0=1.7427247471870        a11=2.6684801948036        Dxxx=-8.140391171e-5        ds=0.150000   42s
  n=30   x0=2.1689607932542        a11=2.5669550866212        Dxxx=-0.0006677392756       ds=0.150000   60s
  n=40   x0=2.5698913563353        a11=2.4758978070583        Dxxx=-0.001220754740        ds=0.150000   79s
  n=50   x0=2.9603064317852        a11=2.3936350003929        Dxxx=-0.001603890421        ds=0.150000   96s
  n=60   x0=3.3460414635910        a11=2.3187763746613        Dxxx=-0.001828411845        ds=0.150000   115s
  n=70   x0=3.7300279906807        a11=2.2502206248242        Dxxx=-0.001934960357        ds=0.150000   135s
  n=80   x0=4.1139371852903        a11=2.1870908135915        Dxxx=-0.001961045089        ds=0.150000   154s
  n=90   x0=4.4987964225110        a11=2.1286793485314        Dxxx=-0.001934922477        ds=0.150000   174s
  n=100  x0=4.8852678501838        a11=2.0744073127889        Dxxx=-0.001876396498        ds=0.150000   195s
  n=110  x0=5.2737907504529        a11=2.0237949563838        Dxxx=-0.001798896649        ds=0.150000   215s
  n=120  x0=5.6646609875598        a11=1.9764401245530        Dxxx=-0.001711359176        ds=0.150000   236s
  -> npts=120 end=5.664660987559848526558282647506378 reason=MAXPTS Dxxx_sign_changes=1  (239s)
=== c_a0p72727_om0p08  a=0.72727272727272727272727272727273 a20=-5.033568607889595543916531570852591 side=1
  n=10   x0=1.2040459159547        a11=2.5229021626295        Dxxx=-5.364664572e-6        ds=0.150000   23s
  n=20   x0=1.6349452983511        a11=2.4122096241988        Dxxx=-0.0002353935263       ds=0.150000   43s
  n=30   x0=2.0432821354837        a11=2.2939965962247        Dxxx=-0.0006918703518       ds=0.150000   59s
  n=40   x0=2.4318176227249        a11=2.1877298255687        Dxxx=-0.001078660405        ds=0.150000   75s
  n=50   x0=2.8163464403167        a11=2.0918118161768        Dxxx=-0.001328160381        ds=0.150000   94s
  n=60   x0=3.2024612127312        a11=2.0047884983655        Dxxx=-0.001457257087        ds=0.150000   113s
  n=70   x0=3.5927110061150        a11=1.9254493846966        Dxxx=-0.001499237531        ds=0.150000   132s
  n=80   x0=3.9883978438152        a11=1.8527947606579        Dxxx=-0.001483686475        ds=0.150000   149s
  n=90   x0=4.3902176458848        a11=1.7859945165185        Dxxx=-0.001432628696        ds=0.150000   168s
  n=100  x0=4.7985385335892        a11=1.7243537225348        Dxxx=-0.001361297725        ds=0.150000   188s
  n=110  x0=5.2135382513340        a11=1.6672857269913        Dxxx=-0.001279810420        ds=0.150000   207s
  n=120  x0=5.6352784927984        a11=1.6142913748017        Dxxx=-0.001194688049        ds=0.150000   229s
  -> npts=120 end=5.635278492798406216092226479255456 reason=MAXPTS Dxxx_sign_changes=0  (233s)
=== c_a0p8_om1p0  a=0.8 a20=-7.134911242603550295857988165680473 side=1
  n=10   x0=1.1896539238791        a11=2.3784497571620        Dxxx=-1.106808359e-5        ds=0.150000   22s
  n=20   x0=1.6259060940165        a11=2.2594148640638        Dxxx=-0.0002598933581       ds=0.150000   39s
  n=30   x0=1.9803911768440        a11=2.1504102854683        Dxxx=-0.0005671464932       ds=0.150000   56s
  n=40   x0=2.3198501401327        a11=2.0514798204074        Dxxx=-0.0008064268776       ds=0.150000   73s
  n=50   x0=2.6567818651925        a11=1.9614334760136        Dxxx=-0.0009596233422       ds=0.150000   91s
  n=60   x0=2.9958744707079        a11=1.8791686205237        Dxxx=-0.001040190311        ds=0.150000   105s
  n=70   x0=3.3393271024933        a11=1.8037378988975        Dxxx=-0.001067309212        ds=0.150000   121s
  n=80   x0=3.6882850492485        a11=1.7343360924121        Dxxx=-0.001057930433        ds=0.150000   139s
  n=90   x0=4.0433710086496        a11=1.6702777634364        Dxxx=-0.001025064335        ds=0.150000   159s
  n=100  x0=4.4049210977055        a11=1.6109767120128        Dxxx=-0.0009780679901       ds=0.150000   178s
  n=110  x0=4.7731031946509        a11=1.5559288913665        Dxxx=-0.0009234182015       ds=0.150000   198s
  n=120  x0=5.1479816496199        a11=1.5046985525460        Dxxx=-0.0008654724290       ds=0.150000   218s
  -> npts=120 end=5.147981649619856165208590653750113 reason=MAXPTS Dxxx_sign_changes=0  (221s)
=== c_a0p8_o0p3  a=0.8 a20=-5.834911242603550295857988165680473 side=1
  n=10   x0=1.2021308991392        a11=2.3756490066231        Dxxx=3.434158288e-6         ds=0.150000   23s
  *** D_xxx SIGN CHANGE between x0=1.32085557021 and 1.37321945490 : 2.29704e-6 -> -3.25047e-6
  n=20   x0=1.6921764971076        a11=2.2382940131620        Dxxx=-0.0001361955297       ds=0.150000   43s
  n=30   x0=2.1007228120427        a11=2.1140245077989        Dxxx=-0.0004518079509       ds=0.150000   61s
  n=40   x0=2.4976718530578        a11=2.0027501257141        Dxxx=-0.0007268099276       ds=0.150000   78s
  n=50   x0=2.8957992036366        a11=1.9027352770478        Dxxx=-0.0009040611369       ds=0.150000   95s
  n=60   x0=3.2997437872038        a11=1.8124213443313        Dxxx=-0.0009933036985       ds=0.150000   113s
  n=70   x0=3.7115752560890        a11=1.7304994120111        Dxxx=-0.001018710601        ds=0.150000   131s
  n=80   x0=4.1322856751939        a11=1.6558781501486        Dxxx=-0.001002393280        ds=0.150000   151s
  n=90   x0=4.5623391646323        a11=1.5876442216388        Dxxx=-0.0009609028518       ds=0.150000   170s
  n=100  x0=5.0019151980224        a11=1.5250284488164        Dxxx=-0.0009056292955       ds=0.150000   190s
  n=110  x0=5.4510301860170        a11=1.4673787560705        Dxxx=-0.0008440420945       ds=0.150000   211s
  n=120  x0=5.9096036837783        a11=1.4141388181514        Dxxx=-0.0007808605029       ds=0.150000   232s
  -> npts=120 end=5.909603683778291250298676655179251 reason=MAXPTS Dxxx_sign_changes=1  (236s)
=== c_a0p9_om0p08  a=0.9 a20=-10.63663265306122448979591836734694 side=1
  n=10   x0=1.1758844137553        a11=2.1795036477355        Dxxx=-6.331857765e-7        ds=0.150000   25s
