=== row5  a=-4 a20=-1 side=1
  -> npts=120 end=1.949385709507402918302731778879128 reason=MAXPTS Dxxx_sign_changes=1  (390s)
=== c_am0p2_om0p3  a=-0.2 a20=6.87037037037037037037037037037037 side=1
  n=10   x0=1.1875025296176        a11=4.4517732237671        Dxxx=-2.092810159e-6        ds=0.150000   26s
  n=20   x0=1.5273900011586        a11=4.7628691245515        Dxxx=-0.0002332021618       ds=0.150000   43s
  n=30   x0=1.7371066864422        a11=5.0795043579001        Dxxx=-0.001160931971        ds=0.150000   61s
  n=40   x0=1.9008654904533        a11=5.3958421686676        Dxxx=-0.003076788733        ds=0.150000   79s
  n=50   x0=2.0371173625189        a11=5.7101472342159        Dxxx=-0.006144630612        ds=0.150000   98s
  n=60   x0=2.1540833443879        a11=6.0214228968029        Dxxx=-0.01043994451         ds=0.150000   118s
  n=70   x0=2.2564463816449        a11=6.3290472380457        Dxxx=-0.01597529453         ds=0.150000   139s
  n=80   x0=2.3472452884978        a11=6.6326376695488        Dxxx=-0.02271971495         ds=0.150000   160s
  n=90   x0=2.4286145588296        a11=6.9319752254490        Dxxx=-0.03061369672         ds=0.150000   182s
  n=100  x0=2.5021337410253        a11=7.2269551621320        Dxxx=-0.03958049934         ds=0.150000   205s
  n=110  x0=2.5690150643612        a11=7.5175527475285        Dxxx=-0.04953441773         ds=0.150000   227s
  n=120  x0=2.6302140250282        a11=7.8037989843237        Dxxx=-0.06038661509         ds=0.150000   249s
  -> npts=120 end=2.630214025028222160347678308016639 reason=MAXPTS Dxxx_sign_changes=0  (253s)
=== c_am0p2_o1p0  a=-0.2 a20=8.17037037037037037037037037037037 side=1
  n=10   x0=1.1832924520798        a11=4.4494311444035        Dxxx=2.847217700e-6         ds=0.150000   25s
  *** D_xxx SIGN CHANGE between x0=1.46319850439 and 1.48868256972 : 3.65287e-6 -> -6.01228e-6
  n=20   x0=1.5131082233852        a11=4.7440713192558        Dxxx=-1.927585701e-5        ds=0.150000   43s
  n=30   x0=1.7178162799161        a11=5.0453863630321        Dxxx=-0.0004231240864       ds=0.150000   61s
  n=40   x0=1.8786348126539        a11=5.3480399988462        Dxxx=-0.001505620479        ds=0.150000   79s
  n=50   x0=2.0131832912482        a11=5.6502664299952        Dxxx=-0.003458210119        ds=0.150000   99s
  n=60   x0=2.1292520037652        a11=5.9509480444220        Dxxx=-0.006398521417        ds=0.150000   119s
  n=70   x0=2.2312594964977        a11=6.2493133697554        Dxxx=-0.01038762185         ds=0.150000   140s
  n=80   x0=2.3220704968598        a11=6.5448261982667        Dxxx=-0.01544337431         ds=0.150000   161s
  n=90   x0=2.4037008279898        a11=6.8371214428593        Dxxx=-0.02155161751         ds=0.150000   183s
  n=100  x0=2.4776475726800        a11=7.1259609456427        Dxxx=-0.02867545278         ds=0.150000   205s
  n=110  x0=2.5450650067035        a11=7.4112010775297        Dxxx=-0.03676273830         ds=0.150000   228s
  n=120  x0=2.6068676426772        a11=7.6927684607479        Dxxx=-0.04575194624         ds=0.150000   251s
  -> npts=120 end=2.606867642677169460776872844301507 reason=MAXPTS Dxxx_sign_changes=1  (255s)
=== c_a0p0_o0p08  a=0.0 a20=0.08 side=1
  n=10   x0=1.1987954096034        a11=4.0323718048949        Dxxx=2.438316952e-6         ds=0.150000   27s
  n=20   x0=1.5883506855671        a11=4.2259741730246        Dxxx=6.304631681e-5         ds=0.150000   46s
  n=30   x0=1.8415915837446        a11=4.4145225855453        Dxxx=0.0001432588312        ds=0.150000   65s
  n=40   x0=2.0462127572417        a11=4.5957225692664        Dxxx=0.0002171180169        ds=0.150000   86s
  n=50   x0=2.2215388602509        a11=4.7700085573094        Dxxx=0.0002794251124        ds=0.150000   107s
  n=60   x0=2.3761994005737        a11=4.9379854263083        Dxxx=0.0003302315239        ds=0.150000   129s
  n=70   x0=2.5151023011021        a11=5.1002281183390        Dxxx=0.0003709796750        ds=0.150000   150s
  n=80   x0=2.6414205131497        a11=5.2572494130950        Dxxx=0.0004033309621        ds=0.150000   172s
